replay,code,description,xshift,yshift,keypoints,0,30,60,70,74,92,96,108
100,1,rolling failure,,,,,,,,,,,
101,0,success,,,,,,,,,,,
102,1,,,,,,,,,,,,
103,1,,,,,,,,,,,,
104,1,,,,,,,,,,,,
105,1,,,,,,,,,,,,
106,0,,,,,,,,,,,,
107,0,,,,,,,,,,,,
108,0,,,,,,,,,,,,
109,0,,,,,,,,,,,,
110,2,grip failure,,,,,,,,,,,
111,0,,,,,,,,,,,,
112,0,,,,,,,,,,,,
113,0,,,,,,,,,,,,
114,0,,,,,,,,,,,,
115,1,,,,,,,,,,,,
116,0,,,,,,,,,,,,
117,1,,,,,,,,,,,,
118,1,,,,,,,,,,,,
119,0,,,,,,,,,,,,
120,0,,,,,,,,,,,,
121,0,,,,,,,,,,,,
122,1,,,,,,,,,,,,
123,1,,,,,,,,,,,,
124,1,,,,,,,,,,,,
125,0,,,,,,,,,,,,
126,0,,,,,,,,,,,,
127,1,,,,,,,,,,,,
128,3,shift failure,,,,,,,,,,,
129,1,,,,,,,,,,,,
130,0,,,,,,,,,,,,
131,1,,,,,,,,,,,,
132,4,miss failure,,,,,,,,,,,
133,0,,,,,,,,,,,,
134,0,,,,,,,,,,,,
135,0,,,,,,,,,,,,
136,4,,,,,,,,,,,,
137,1,,,,,,,,,,,,
138,1,,,,,,,,,,,,
139,0,,,,,,,,,,,,
140,0,,,,,,,,,,,,
141,0,,,,,,,,,,,,
142,0,,,,,,,,,,,,
143,0,,,,,,,,,,,,
144,2,,,,,,,,,,,,
145,1,,,,,,,,,,,,
146,0,,,,,,,,,,,,
147,0,,,,,,,,,,,,
148,1,,,,,,,,,,,,
149,0,,,,,,,,,,,,
150,0,,,,,,,,,,,,
151,1,,,,,,,,,,,,
152,0,,,,,,,,,,,,
153,1,,,,,,,,,,,,
154,0,,,,,,,,,,,,
155,0,,,,,,,,,,,,
156,1,,,,,,,,,,,,
157,0,,,,,,,,,,,,
158,1,,,,,,,,,,,,
159,1,,,,,,,,,,,,
160,2,,,,,,,,,,,,
161,0,,,,,,,,,,,,
162,1,,,,,,,,,,,,
163,0,,,,,,,,,,,,
164,0,,,,,,,,,,,,
165,1,,,,,,,,,,,,
166,1,,,,,,,,,,,,
167,1,,,,,,,,,,,,
168,2,,,,,,,,,,,,
169,0,,,,,,,,,,,,
170,1,,,,,,,,,,,,
171,0,,,,,,,,,,,,
172,0,,,,,,,,,,,,
173,1,,,,,,,,,,,,
174,1,,,,,,,,,,,,
175,0,,,,,,,,,,,,
176,0,,,,,,,,,,,,
177,0,,,,,,,,,,,,
178,2,,,,,,,,,,,,
179,0,,,,,,,,,,,,
180,0,,,,,,,,,,,,
181,0,,,,,,,,,,,,
182,1,,,,,,,,,,,,
183,1,,,,,,,,,,,,
184,0,,,,,,,,,,,,
185,0,,,,,,,,,,,,
186,1,,,,,,,,,,,,
187,1,,,,,,,,,,,,
188,2,,,,,,,,,,,,
189,1,,,,,,,,,,,,
190,0,,,,,,,,,,,,
191,0,,,,,,,,,,,,
192,1,,,,,,,,,,,,
193,0,,,,,,,,,,,,
